artist_track~genius_url
Eminem 'Till I Collapse~https://genius.com/Eminem-till-i-collapse-lyrics
Metallica St. Anger~https://genius.com/Metallica-st-anger-lyrics
Dope Die MF Die~https://genius.com/Dope-die-mf-die-lyrics
Drowning Pool Step Up~https://genius.com/Drowning-pool-step-up-lyrics
Kanye West Feedback~https://genius.com/Kanye-west-feedback-lyrics
Deftones 7 Words~https://genius.com/Deftones-7-words-lyrics
Pendulum Comprachicos~https://genius.com/Pendulum-comprachicos-lyrics
Kanye West Two Words~https://genius.com/Kanye-west-two-words-lyrics
Black Flag What I See~https://genius.com/Black-flag-what-i-see-lyrics
Black Flag Room 13~https://genius.com/Black-flag-room-13-lyrics
Mystikal Shake Ya Ass~https://genius.com/Mystikal-shake-ya-ass-lyrics
The Animals Boom Boom~https://genius.com/The-animals-boom-boom-lyrics
Peaches Boys Wanna Be Her~https://genius.com/Peaches-boys-wanna-be-her-lyrics
Crossfade Death Trend Setta~https://genius.com/Crossfade-death-trend-setta-lyrics
Run the Jewels Angel Duster~https://genius.com/Run-the-jewels-angel-duster-lyrics
Slipknot Custer~https://genius.com/Slipknot-custer-lyrics
Filter Welcome To The Fold~https://genius.com/Filter-welcome-to-the-fold-lyrics
Sevendust Black~https://genius.com/Sevendust-black-lyrics
The Pussycat Dolls Hush Hush; Hush Hush~https://genius.com/The-pussycat-dolls-hush-hush-lyrics
Prodigy Invaders Must Die~https://genius.com/The-prodigy-invaders-must-die-lyrics
Avenged Sevenfold Requiem~https://genius.com/Avenged-sevenfold-requiem-lyrics
Pendulum Self vs Self~https://genius.com/Pendulum-self-vs-self-lyrics
Chevelle Shameful Metaphors~https://genius.com/Chevelle-shameful-metaphors-lyrics
Against Me! Black Me Out~https://genius.com/Against-me-black-me-out-lyrics
Transplants Quick Death~https://genius.com/Transplants-quick-death-lyrics
Rancid Motorcycle Ride~https://genius.com/Rancid-motorcycle-ride-lyrics
Less Than Jake Lockdown~https://genius.com/Less-than-jake-lockdown-lyrics
The Animals I Put a Spell on You~https://genius.com/The-animals-i-put-a-spell-on-you-lyrics
Authority Zero A Passage In Time~https://genius.com/Authority-zero-a-passage-in-time-lyrics
Rilo Kiley A Better Son-Daughter~https://genius.com/Rilo-kiley-a-better-son-daughter-lyrics
Eric Burdon Tobacco Road~https://genius.com/Eric-burdon-tobacco-road-lyrics
The Mighty Mighty Bosstones Howwhywuz, Howwhyam~https://genius.com/The-mighty-mighty-bosstones-howwhywuz-howwhyam-lyrics
Authority Zero Super Bitch~https://genius.com/Authority-zero-superbitch-lyrics
The Unseen Waste Of Time~https://genius.com/Unseen-waste-of-time-lyrics
N.W.A F _ _ _ tha Police~https://genius.com/Nwa-fuck-tha-police-lyrics
Hans Zimmer Homecoming~https://genius.com/Hans-zimmer-and-lisa-gerrard-homecoming-lyrics
The Animals Cheating~https://genius.com/The-animals-cheating-lyrics
Wu-Tang Clan Triumph (Feat Cappadonna)~https://genius.com/Wu-tang-clan-triumph-lyrics
Jaya the Cat Final Solution~https://genius.com/Jaya-the-cat-final-solution-lyrics
Drowning Pool Bodies~https://genius.com/Drowning-pool-bodies-lyrics
Limp Bizkit Break Stuff~https://genius.com/Limp-bizkit-break-stuff-lyrics
Rage Against the Machine Bullet in the Head~https://genius.com/Rage-against-the-machine-bullet-in-the-head-lyrics
Eminem The Way I Am~https://genius.com/Eminem-the-way-i-am-lyrics
